order_id,sales,profit,quantity,category,sub_category,cost,total_cost,total_profit,order_date,customer_name,city,country,region,segment,ship_date,ship_mode,lon,lat,avg_profit
AZ-2011-1029887,85,15,2,furniture,furnishings,70,70,30,7/31/2011,Brooke Hodgson,Leipzig,Germany,Central,Consumer,8/3/2011,Economy Plus,12.3730747,51.3396955,42.22495756
AZ-2011-1029887,26,7,2,office supplies,labels,19,19,14,7/31/2011,Brooke Hodgson,Leipzig,Germany,Central,Consumer,8/3/2011,Economy Plus,12.3730747,51.3396955,25.89697347
AZ-2011-107716,294,109,7,technology,accessories,185,185,763,4/11/2011,Corey Norton,Marseille,France,Central,Consumer,4/16/2011,Economy,5.36978,43.296482,74.10472279
AZ-2011-1087704,76,11,3,furniture,furnishings,65,65,33,9/15/2011,Elijah Ruatoka,Karlsruhe,Germany,Central,Home Office,9/19/2011,Economy,8.4036527,49.0068901,42.22495756
AZ-2011-1087704,252,15,5,office supplies,binders,237,237,75,9/15/2011,Elijah Ruatoka,Karlsruhe,Germany,Central,Home Office,9/19/2011,Economy,8.4036527,49.0068901,25.89697347
AZ-2011-1087704,90,17,3,office supplies,supplies,73,73,51,9/15/2011,Elijah Ruatoka,Karlsruhe,Germany,Central,Home Office,9/19/2011,Economy,8.4036527,49.0068901,25.89697347
AZ-2011-1114253,1334,200,8,technology,phones,1134,1134,1600,10/18/2011,Amy Pendred,Hamburg,Germany,Central,Consumer,10/22/2011,Economy Plus,9.9936818,53.5510846,74.10472279
AZ-2011-1116129,32,6,3,office supplies,labels,26,26,18,6/9/2011,Marcus Leon,Munich,Germany,Central,Corporate,6/11/2011,Economy Plus,11.5819806,48.1351253,25.89697347
AZ-2011-1137571,88,3,2,furniture,furnishings,85,85,6,9/10/2011,Cerys Edwards,Offenbach,Germany,Central,Consumer,9/12/2011,Economy Plus,8.7760843,50.0956362,42.22495756
AZ-2011-1137571,284,43,5,office supplies,art,241,241,215,9/10/2011,Cerys Edwards,Offenbach,Germany,Central,Consumer,9/12/2011,Economy Plus,8.7760843,50.0956362,25.89697347
AZ-2011-1174243,541,156,4,furniture,bookcases,385,385,624,6/10/2011,Louis Scott,London,United Kingdom,North,Corporate,6/13/2011,Priority,-0.1277583,51.5073509,42.22495756
AZ-2011-122598,576,51,5,office supplies,storage,525,525,255,4/14/2011,Eve Bates,Duisburg,Germany,Central,Consumer,4/17/2011,Priority,6.7623293,51.4344079,25.89697347
AZ-2011-1229073,307,99,5,furniture,chairs,208,208,495,9/2/2011,Isaac David,Friedrichshafen,Germany,Central,Corporate,9/2/2011,Immediate,9.4800113,47.6617648,42.22495756
AZ-2011-1229073,44,14,3,office supplies,binders,30,30,42,9/2/2011,Isaac David,Friedrichshafen,Germany,Central,Corporate,9/2/2011,Immediate,9.4800113,47.6617648,25.89697347
AZ-2011-1229073,96,21,4,office supplies,supplies,75,75,84,9/2/2011,Isaac David,Friedrichshafen,Germany,Central,Corporate,9/2/2011,Immediate,9.4800113,47.6617648,25.89697347
AZ-2011-1240916,152,44,2,office supplies,appliances,108,108,88,6/8/2011,Tyson Hanna,Ghent,Belgium,Central,Consumer,6/11/2011,Priority,3.7174243,51.0543422,25.89697347
AZ-2011-1240916,957,316,12,technology,phones,641,641,3792,6/8/2011,Tyson Hanna,Ghent,Belgium,Central,Consumer,6/11/2011,Priority,3.7174243,51.0543422,74.10472279
AZ-2011-1253407,87,-78,3,furniture,chairs,165,165,-234,6/16/2011,Isabella Falkiner,Odense,Denmark,North,Corporate,6/19/2011,Priority,10.40237,55.403756,42.22495756
AZ-2011-1260928,33,10,3,office supplies,binders,23,23,30,6/28/2011,Ruby Frost,Torremolinos,Spain,South,Home Office,7/4/2011,Economy,-4.4994767,36.6225541,25.89697347
AZ-2011-1278696,28,10,2,office supplies,fasteners,18,18,20,3/10/2011,Naomi Hancock,Coventry,United Kingdom,North,Corporate,3/17/2011,Economy,-1.519693,52.406822,25.89697347
AZ-2011-1279238,25,-11,4,office supplies,art,36,36,-44,9/14/2011,Natasha Sykes,Esbjerg,Denmark,North,Consumer,9/19/2011,Economy,8.459405,55.476466,25.89697347
AZ-2011-1279238,82,-74,3,office supplies,storage,156,156,-222,9/14/2011,Natasha Sykes,Esbjerg,Denmark,North,Consumer,9/19/2011,Economy,8.459405,55.476466,25.89697347
AZ-2011-130330,38,11,2,furniture,furnishings,27,27,22,8/7/2011,Joseph Locke,Vienna,Austria,Central,Corporate,8/10/2011,Priority,16.3738189,48.2081743,42.22495756
AZ-2011-1315772,13,3,2,office supplies,binders,10,10,6,12/17/2011,Denise Harris,Herford,Germany,Central,Consumer,12/21/2011,Economy,8.6793998,52.1178305,25.89697347
AZ-2011-1315772,748,283,4,office supplies,storage,465,465,1132,12/17/2011,Denise Harris,Herford,Germany,Central,Consumer,12/21/2011,Economy,8.6793998,52.1178305,25.89697347
AZ-2011-1315772,800,168,3,technology,machines,632,632,504,12/17/2011,Denise Harris,Herford,Germany,Central,Consumer,12/21/2011,Economy,8.6793998,52.1178305,74.10472279
AZ-2011-1315772,1908,820,3,technology,phones,1088,1088,2460,12/17/2011,Denise Harris,Herford,Germany,Central,Consumer,12/21/2011,Economy,8.6793998,52.1178305,74.10472279
AZ-2011-1322840,630,132,5,furniture,bookcases,498,498,660,8/27/2011,Alexandra Whitehouse,Palermo,Italy,South,Consumer,9/2/2011,Economy,13.3612671,38.1156879,42.22495756
AZ-2011-1328316,46,8,3,office supplies,art,38,38,24,12/6/2011,Lorri Stratton,Hamburg,Germany,Central,Consumer,12/6/2011,Immediate,9.9936818,53.5510846,25.89697347
AZ-2011-1328316,636,140,1,technology,phones,496,496,140,12/6/2011,Lorri Stratton,Hamburg,Germany,Central,Consumer,12/6/2011,Immediate,9.9936818,53.5510846,74.10472279
AZ-2011-1331897,266,58,10,office supplies,art,44,208,580,9/6/2011,Joel Peters,Reggio nell'Emilia,Italy,South,Home Office,9/10/2011,Economy,10.6296859,44.6989932,25.89697347
AZ-2011-1331897,10,2,2,office supplies,binders,8,8,4,9/6/2011,Joel Peters,Reggio nell'Emilia,Italy,South,Home Office,9/10/2011,Economy,10.6296859,44.6989932,25.89697347
AZ-2011-1331897,54,8,5,office supplies,labels,46,46,40,9/6/2011,Joel Peters,Reggio nell'Emilia,Italy,South,Home Office,9/10/2011,Economy,10.6296859,44.6989932,25.89697347
AZ-2011-1331897,255,-98,3,office supplies,storage,353,353,-294,9/6/2011,Joel Peters,Reggio nell'Emilia,Italy,South,Home Office,9/10/2011,Economy,10.6296859,44.6989932,25.89697347
AZ-2011-1331897,666,66,9,technology,accessories,600,600,594,9/6/2011,Joel Peters,Reggio nell'Emilia,Italy,South,Home Office,9/10/2011,Economy,10.6296859,44.6989932,74.10472279
AZ-2011-1332474,56,-1,2,office supplies,storage,57,57,-2,6/2/2011,David Mortlock,Milan,Italy,South,Consumer,6/7/2011,Economy,9.1859243,45.4654219,25.89697347
AZ-2011-1332474,442,0,3,technology,copiers,442,442,0,6/2/2011,David Mortlock,Milan,Italy,South,Consumer,6/7/2011,Economy,9.1859243,45.4654219,74.10472279
AZ-2011-1335871,241,24,2,office supplies,storage,217,217,48,6/14/2011,Ruby Patel,London,United Kingdom,North,Home Office,6/18/2011,Economy,-0.1277583,51.5073509,25.89697347
AZ-2011-1362199,164,-70,5,furniture,chairs,234,234,-350,7/29/2011,Luz Reilly,Dresden,Germany,Central,Consumer,8/5/2011,Economy,13.7372621,51.0504088,42.22495756
AZ-2011-1362199,30,-10,3,office supplies,art,40,40,-30,7/29/2011,Luz Reilly,Dresden,Germany,Central,Consumer,8/5/2011,Economy,13.7372621,51.0504088,25.89697347
AZ-2011-1362199,20,-17,3,office supplies,binders,37,37,-51,7/29/2011,Luz Reilly,Dresden,Germany,Central,Consumer,8/5/2011,Economy,13.7372621,51.0504088,25.89697347
AZ-2011-1362591,176,65,4,office supplies,supplies,111,111,260,4/26/2011,Ava Giles,Duisburg,Germany,Central,Corporate,5/1/2011,Economy,6.7623293,51.4344079,25.89697347
AZ-2011-1366554,510,132,11,office supplies,art,378,378,1452,5/18/2011,Rebecca Chamberlain,Argenteuil,France,Central,Home Office,5/18/2011,Immediate,2.2466847,48.9472096,25.89697347
AZ-2011-1366554,94,16,5,office supplies,envelopes,78,78,80,5/18/2011,Rebecca Chamberlain,Argenteuil,France,Central,Home Office,5/18/2011,Immediate,2.2466847,48.9472096,25.89697347
AZ-2011-1372644,15,1,2,office supplies,labels,14,14,2,4/29/2011,Imogen Daly,Geneva,Switzerland,Central,Consumer,5/5/2011,Economy,6.1431577,46.2043907,25.89697347
AZ-2011-1406494,39,8,3,office supplies,labels,31,31,24,12/26/2011,Donna Farr,Oslo,Norway,North,Consumer,12/30/2011,Economy,10.7522454,59.9138688,25.89697347
AZ-2011-1406494,364,142,2,technology,phones,222,222,284,12/26/2011,Donna Farr,Oslo,Norway,North,Consumer,12/30/2011,Economy,10.7522454,59.9138688,74.10472279
AZ-2011-1410648,18,3,2,office supplies,binders,15,15,6,3/1/2011,Carl Proctor,Rome,Italy,South,Consumer,3/5/2011,Economy,12.4963655,41.9027835,25.89697347
AZ-2011-144325,156,34,3,furniture,furnishings,122,122,102,12/7/2011,Jessica Spring,Magdeburg,Germany,Central,Consumer,12/14/2011,Economy,11.6276237,52.1205333,42.22495756
AZ-2011-1445249,1667,185,6,office supplies,appliances,1482,1482,1110,9/8/2011,Lincoln Want,Bordeaux,France,Central,Consumer,9/8/2011,Immediate,-0.57918,44.837789,25.89697347
AZ-2011-1445249,98,12,2,office supplies,binders,86,86,24,9/8/2011,Lincoln Want,Bordeaux,France,Central,Consumer,9/8/2011,Immediate,-0.57918,44.837789,25.89697347
AZ-2011-1445262,23,8,1,furniture,furnishings,15,15,8,11/2/2011,Amy Nixon,Berlin,Germany,Central,Consumer,11/7/2011,Economy,13.404954,52.5200066,42.22495756
AZ-2011-145488,396,84,3,furniture,bookcases,312,312,252,8/21/2011,Georgina Garner,Noisy-le-Grand,France,Central,Consumer,8/21/2011,Immediate,2.55261,48.848579,42.22495756
AZ-2011-145488,130,44,5,office supplies,art,86,86,220,8/21/2011,Georgina Garner,Noisy-le-Grand,France,Central,Consumer,8/21/2011,Immediate,2.55261,48.848579,25.89697347
AZ-2011-145488,8,2,1,office supplies,labels,6,6,2,8/21/2011,Georgina Garner,Noisy-le-Grand,France,Central,Consumer,8/21/2011,Immediate,2.55261,48.848579,25.89697347
AZ-2011-145488,895,179,5,office supplies,storage,716,716,895,8/21/2011,Georgina Garner,Noisy-le-Grand,France,Central,Consumer,8/21/2011,Immediate,2.55261,48.848579,25.89697347
AZ-2011-1474073,71,5,11,office supplies,binders,23,66,55,5/21/2011,Mary Parker,Rome,Italy,South,Corporate,5/27/2011,Economy,12.4963655,41.9027835,25.89697347
AZ-2011-1475254,48,21,2,office supplies,storage,27,27,42,10/17/2011,Bradley Howell,Bilbao,Spain,South,Corporate,10/22/2011,Economy Plus,-2.9349852,43.2630126,25.89697347
AZ-2011-1484679,273,14,5,office supplies,storage,259,259,70,9/14/2011,Jay Andrews,Darlington,United Kingdom,North,Consumer,9/19/2011,Economy Plus,-1.559458,54.52361,25.89697347
AZ-2011-1499597,141,24,2,office supplies,appliances,117,117,48,8/10/2011,Eloise Mahmood,Trento,Italy,South,Corporate,8/12/2011,Economy Plus,11.1217486,46.0747793,25.89697347
AZ-2011-1499597,69,26,5,office supplies,binders,43,43,130,8/10/2011,Eloise Mahmood,Trento,Italy,South,Corporate,8/12/2011,Economy Plus,11.1217486,46.0747793,25.89697347
AZ-2011-1499597,176,39,4,office supplies,supplies,137,137,156,8/10/2011,Eloise Mahmood,Trento,Italy,South,Corporate,8/12/2011,Economy Plus,11.1217486,46.0747793,25.89697347
AZ-2011-1499597,370,0,5,technology,phones,370,370,0,8/10/2011,Eloise Mahmood,Trento,Italy,South,Corporate,8/12/2011,Economy Plus,11.1217486,46.0747793,74.10472279
AZ-2011-1536006,66,2,5,office supplies,binders,64,64,10,8/3/2011,Norma McCowan,Biarritz,France,Central,Consumer,8/8/2011,Economy,-1.558626,43.4831519,25.89697347
AZ-2011-1546153,169,32,7,office supplies,art,137,137,224,4/14/2011,Nicholas Carey,Crewe,United Kingdom,North,Consumer,4/18/2011,Economy,-2.4438209,53.100405,25.89697347
AZ-2011-1546153,625,6,2,technology,machines,619,619,12,4/14/2011,Nicholas Carey,Crewe,United Kingdom,North,Consumer,4/18/2011,Economy,-2.4438209,53.100405,74.10472279
AZ-2011-1584049,147,-15,2,furniture,chairs,162,162,-30,6/8/2011,Georgina Garner,Ceuta,Spain,South,Consumer,6/13/2011,Economy,-5.3213455,35.8893874,42.22495756
AZ-2011-1584049,336,114,2,technology,copiers,222,222,228,6/8/2011,Georgina Garner,Ceuta,Spain,South,Consumer,6/13/2011,Economy,-5.3213455,35.8893874,74.10472279
AZ-2011-1584049,59,8,1,technology,phones,51,51,8,6/8/2011,Georgina Garner,Ceuta,Spain,South,Consumer,6/13/2011,Economy,-5.3213455,35.8893874,74.10472279
AZ-2011-1584987,178,28,4,office supplies,storage,150,150,112,3/18/2011,Charlie Brooks,Marseille,France,Central,Consumer,3/22/2011,Economy,5.36978,43.296482,25.89697347
AZ-2011-1589827,465,19,6,office supplies,appliances,446,446,114,11/10/2011,Angie Massengill,Girona,Spain,South,Consumer,11/13/2011,Priority,2.8214264,41.9794005,25.89697347
AZ-2011-1589827,48,8,2,office supplies,paper,13,40,16,11/10/2011,Angie Massengill,Girona,Spain,South,Consumer,11/13/2011,Priority,2.8214264,41.9794005,25.89697347
AZ-2011-1603295,623,69,5,furniture,chairs,554,554,345,7/28/2011,Joel Peters,La Madeleine,France,Central,Home Office,8/4/2011,Economy,3.073511,50.654836,42.22495756
AZ-2011-1645475,622,19,2,office supplies,appliances,603,603,38,8/22/2011,Millie Franklin,Bristol,United Kingdom,North,Consumer,8/24/2011,Economy Plus,-2.58791,51.454513,25.89697347
AZ-2011-1655349,58,26,2,office supplies,binders,32,32,52,6/1/2011,Lorri Stratton,Deuil-la-Barre,France,Central,Consumer,6/6/2011,Economy,2.3272339,48.975751,25.89697347
AZ-2011-1655349,140,8,6,office supplies,envelopes,132,132,48,6/1/2011,Lorri Stratton,Deuil-la-Barre,France,Central,Consumer,6/6/2011,Economy,2.3272339,48.975751,25.89697347
AZ-2011-1661180,136,41,3,office supplies,paper,95,95,123,11/28/2011,Freya Daniels,Milan,Italy,South,Consumer,12/3/2011,Economy Plus,9.1859243,45.4654219,25.89697347
AZ-2011-1672552,162,73,2,technology,machines,89,89,146,5/2/2011,Sam French,Krefeld,Germany,Central,Consumer,5/9/2011,Economy,6.5853417,51.3387609,74.10472279
AZ-2011-1680940,270,75,3,furniture,chairs,195,195,225,8/1/2011,Leslie Wilson,Champigny-sur-Marne,France,Central,Consumer,8/8/2011,Economy,2.515556,48.817049,42.22495756
AZ-2011-1693949,1207,36,4,technology,machines,1171,1171,144,7/18/2011,Cynthia Zielinski,Derby,United Kingdom,North,Home Office,7/23/2011,Economy,-1.4746186,52.9225301,74.10472279
AZ-2011-1722024,34,14,2,office supplies,art,20,20,28,7/1/2011,Chelsea Bannister,Coventry,United Kingdom,North,Consumer,7/3/2011,Priority,-1.519693,52.406822,25.89697347
AZ-2011-1723003,103,36,2,office supplies,binders,67,67,72,6/1/2011,Paige Horsfall,Barcelona,Spain,South,Home Office,6/5/2011,Economy,2.1734035,41.3850639,25.89697347
AZ-2011-1735855,31,9,2,office supplies,binders,22,22,18,10/11/2011,Sebastian Barber,Waterlooville,United Kingdom,North,Home Office,10/16/2011,Economy,-1.028751,50.890312,25.89697347
AZ-2011-1754604,67,28,3,office supplies,supplies,39,39,84,10/31/2011,Zachary Warner,Berlin,Germany,Central,Consumer,11/6/2011,Economy,13.404954,52.5200066,25.89697347
AZ-2011-176674,172,48,2,office supplies,appliances,124,124,96,9/19/2011,Abby Colebe,Poissy,France,Central,Consumer,9/21/2011,Priority,2.046982,48.929584,25.89697347
AZ-2011-176674,275,49,5,office supplies,art,226,226,245,9/19/2011,Abby Colebe,Poissy,France,Central,Consumer,9/21/2011,Priority,2.046982,48.929584,25.89697347
AZ-2011-177100,527,132,2,technology,copiers,395,395,264,6/27/2011,Edward Davidson,Gallarate,Italy,South,Home Office,7/1/2011,Economy,8.7921269,45.6623632,74.10472279
AZ-2011-1773848,76,31,5,office supplies,storage,45,45,155,7/6/2011,Desiree Hurt,Gronau,Germany,Central,Home Office,7/10/2011,Economy,7.0289361,52.1841199,25.89697347
AZ-2011-1776203,45,16,3,office supplies,art,29,29,48,9/23/2011,Lily Dallachy,Verdun,France,Central,Corporate,9/25/2011,Economy Plus,5.3844231,49.1598764,25.89697347
AZ-2011-1816950,26,-11,1,office supplies,binders,37,37,-11,1/18/2011,John Baca,Esbjerg,Denmark,North,Consumer,1/23/2011,Economy Plus,8.459405,55.476466,25.89697347
AZ-2011-1845681,84,41,4,office supplies,paper,43,43,164,11/7/2011,Paul Collazo,Hamburg,Germany,Central,Home Office,11/13/2011,Economy,9.9936818,53.5510846,25.89697347
AZ-2011-1868249,777,129,7,technology,phones,648,648,903,9/12/2011,Leah Marsh,Alicante,Spain,South,Corporate,9/16/2011,Economy,-0.4906855,38.3459963,74.10472279
AZ-2011-1890132,51,14,2,office supplies,art,37,37,28,10/14/2011,Dennis Conaway,Heilbronn,Germany,Central,Consumer,10/17/2011,Priority,9.210879,49.1426929,25.89697347
AZ-2011-1902971,600,77,4,furniture,bookcases,105,523,308,8/15/2011,Hayden Perkins,Bolton,United Kingdom,North,Consumer,8/15/2011,Immediate,-2.4282192,53.5768647,42.22495756
AZ-2011-1902971,395,120,9,office supplies,binders,38,275,1080,8/15/2011,Hayden Perkins,Bolton,United Kingdom,North,Consumer,8/15/2011,Immediate,-2.4282192,53.5768647,25.89697347
